job_id,title,company,location,description,experience_level,clean_title,clean_description,extracted_skills,role_category,skills_text
44,Junior Data Scientist,Hootsuite,Vancouver BC,"Support data science projects using Python, SQL, scikit-learn, Pandas, Excel, statistics, and dashboards.",Entry Level,junior data scientist,"support data science projects using python, sql, scikit-learn, pandas, excel, statistics, and dashboards.","['python', 'sql', 'pandas', 'scikit-learn', 'excel', 'statistics', 'dashboards']",Data Science,"python, sql, pandas, scikit-learn, excel, statistics, dashboards"
45,Cloud Engineer,Amazon,Vancouver BC,"Support cloud infrastructure using AWS, EC2, S3, Lambda, Docker, Terraform, Kubernetes, and CloudWatch.",Entry Level,cloud engineer,"support cloud infrastructure using aws, ec2, s3, lambda, docker, terraform, kubernetes, and cloudwatch.","['aws', 's3', 'lambda', 'ec2', 'docker', 'kubernetes', 'terraform', 'cloudwatch']",Cloud/AWS,"aws, s3, lambda, ec2, docker, kubernetes, terraform, cloudwatch"
46,Backend Developer,Clio,Vancouver BC,"Build backend services using Python, Java, REST APIs, PostgreSQL, Docker, AWS, and CI/CD pipelines.",Entry Level,backend developer,"build backend services using python, java, rest apis, postgresql, docker, aws, and ci/cd pipelines.","['python', 'aws', 'docker', 'postgresql', 'rest apis', 'java', 'ci/cd']",Software Engineering,"python, aws, docker, postgresql, rest apis, java, ci/cd"
47,Full Stack Developer,Thinkific,Vancouver BC,"Develop web applications using React, TypeScript, Node.js, REST APIs, PostgreSQL, Docker, and AWS.",Entry Level,full stack developer,"develop web applications using react, typescript, node.js, rest apis, postgresql, docker, and aws.","['aws', 'docker', 'postgresql', 'rest apis', 'typescript', 'react', 'node.js']",Software Engineering,"aws, docker, postgresql, rest apis, typescript, react, node.js"
48,Data Engineer,Telus,Vancouver BC,"Build data pipelines using Python, SQL, Spark, PySpark, Airflow, AWS, S3, and data warehousing tools.",Entry Level,data engineer,"build data pipelines using python, sql, spark, pyspark, airflow, aws, s3, and data warehousing tools.","['python', 'sql', 'aws', 's3', 'spark', 'pyspark', 'airflow', 'data pipelines', 'data warehousing']",Data Engineering,"python, sql, aws, s3, spark, pyspark, airflow, data pipelines, data warehousing"
49,Analytics Engineer,Slack,Vancouver BC,"Create analytics models using SQL, Python, dbt, data warehousing, dashboards, Tableau, and data pipelines.",Entry Level,analytics engineer,"create analytics models using sql, python, dbt, data warehousing, dashboards, tableau, and data pipelines.","['python', 'sql', 'tableau', 'data pipelines', 'data warehousing', 'dashboards', 'dbt']",Analytics,"python, sql, tableau, data pipelines, data warehousing, dashboards, dbt"
50,AWS Cloud Engineer,Deloitte,Vancouver BC,"Deploy AWS infrastructure using EC2, S3, Lambda, API Gateway, Docker, Terraform, CloudWatch, and CI/CD.",Entry Level,aws cloud engineer,"deploy aws infrastructure using ec2, s3, lambda, api gateway, docker, terraform, cloudwatch, and ci/cd.","['aws', 's3', 'lambda', 'ec2', 'docker', 'terraform', 'cloudwatch', 'ci/cd']",Cloud/AWS,"aws, s3, lambda, ec2, docker, terraform, cloudwatch, ci/cd"
51,Data Analyst,National Bank,Montreal QC,"Create business reports using SQL, Excel, Tableau, Power BI, dashboards, data visualization, and business analytics.",Entry Level,data analyst,"create business reports using sql, excel, tableau, power bi, dashboards, data visualization, and business analytics.","['sql', 'tableau', 'power bi', 'excel', 'data visualization', 'dashboards', 'business analytics']",Analytics,"sql, tableau, power bi, excel, data visualization, dashboards, business analytics"
52,Data Scientist,CAE,Montreal QC,"Build predictive models using Python, SQL, Pandas, scikit-learn, statistics, TensorFlow, and model evaluation.",Entry Level,data scientist,"build predictive models using python, sql, pandas, scikit-learn, statistics, tensorflow, and model evaluation.","['python', 'sql', 'pandas', 'scikit-learn', 'tensorflow', 'statistics', 'model evaluation', 'model evaluation']",Data Science,"python, sql, pandas, scikit-learn, tensorflow, statistics, model evaluation, model evaluation"
53,Machine Learning Engineer,Element AI,Montreal QC,"Develop ML systems using Python, PyTorch, TensorFlow, NLP, embeddings, Docker, Kubernetes, and model deployment.",Entry Level,machine learning engineer,"develop ml systems using python, pytorch, tensorflow, nlp, embeddings, docker, kubernetes, and model deployment.","['python', 'docker', 'kubernetes', 'pytorch', 'tensorflow', 'nlp', 'embeddings', 'model deployment']",AI/ML,"python, docker, kubernetes, pytorch, tensorflow, nlp, embeddings, model deployment"
54,Cloud Data Engineer,CGI,Montreal QC,"Build cloud data pipelines using AWS, S3, Lambda, Spark, Python, SQL, Redshift, and ETL workflows.",Entry Level,cloud data engineer,"build cloud data pipelines using aws, s3, lambda, spark, python, sql, redshift, and etl workflows.","['python', 'sql', 'aws', 's3', 'lambda', 'redshift', 'spark', 'data pipelines', 'etl']",Data Engineering,"python, sql, aws, s3, lambda, redshift, spark, data pipelines, etl"
55,Business Intelligence Analyst,Ubisoft,Montreal QC,"Build BI dashboards using SQL, Power BI, Tableau, Excel, data modeling, dashboards, and data visualization.",Entry Level,business intelligence analyst,"build bi dashboards using sql, power bi, tableau, excel, data modeling, dashboards, and data visualization.","['sql', 'tableau', 'power bi', 'excel', 'data visualization', 'dashboards', 'data modeling']",Analytics,"sql, tableau, power bi, excel, data visualization, dashboards, data modeling"
56,Cloud Engineer,Enbridge,Calgary AB,"Deploy cloud services using AWS, Docker, Terraform, Kubernetes, Linux, CloudWatch, and CI/CD automation.",Entry Level,cloud engineer,"deploy cloud services using aws, docker, terraform, kubernetes, linux, cloudwatch, and ci/cd automation.","['aws', 'docker', 'kubernetes', 'terraform', 'cloudwatch', 'ci/cd', 'linux']",Cloud/AWS,"aws, docker, kubernetes, terraform, cloudwatch, ci/cd, linux"
57,Data Analyst,Suncor,Calgary AB,"Analyze operational datasets using SQL, Python, Excel, Power BI, dashboards, statistics, and data visualization.",Entry Level,data analyst,"analyze operational datasets using sql, python, excel, power bi, dashboards, statistics, and data visualization.","['python', 'sql', 'power bi', 'excel', 'statistics', 'data visualization', 'dashboards']",Analytics,"python, sql, power bi, excel, statistics, data visualization, dashboards"
58,Backend Engineer,Neo Financial,Calgary AB,"Build backend APIs using Python, Java, REST APIs, SQL, PostgreSQL, Docker, AWS, and scalable architecture.",Entry Level,backend engineer,"build backend apis using python, java, rest apis, sql, postgresql, docker, aws, and scalable architecture.","['python', 'sql', 'aws', 'docker', 'postgresql', 'rest apis', 'java']",Software Engineering,"python, sql, aws, docker, postgresql, rest apis, java"
59,Software Engineer,Shopify,Ottawa ON,"Develop software systems using Python, JavaScript, TypeScript, Node.js, REST APIs, SQL, Docker, and AWS.",Entry Level,software engineer,"develop software systems using python, javascript, typescript, node.js, rest apis, sql, docker, and aws.","['python', 'sql', 'aws', 'docker', 'rest apis', 'typescript', 'node.js']",Software Engineering,"python, sql, aws, docker, rest apis, typescript, node.js"
60,Junior Cloud Developer,Government of Canada,Ottawa ON,"Develop cloud applications using AWS, Lambda, API Gateway, Python, Docker, CloudWatch, REST APIs, and CI/CD.",Entry Level,junior cloud developer,"develop cloud applications using aws, lambda, api gateway, python, docker, cloudwatch, rest apis, and ci/cd.","['python', 'aws', 'lambda', 'docker', 'cloudwatch', 'rest apis', 'ci/cd']",Cloud/AWS,"python, aws, lambda, docker, cloudwatch, rest apis, ci/cd"
